"product_page","image","name","media-0_textXs__ZzHWu","media-0_labelXs__Jb339"
"https://www.marksandspencer.com/food/2-smoked-gammon-steaks/p/fdp60224632#intid=pid_pg2pip96g6r12c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/8e1b326b3b0e4104561e493a5c22503b.jpg","2 Smoked Gammon Steaks","400 g",""
"https://www.marksandspencer.com/food/2-unsmoked-bacon-chops/p/fdp21064394#intid=pid_pg2pip96g6r13c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/9a583b9a2217d7ea163dd2afe290a7c9.jpg","2 Unsmoked Bacon Chops","206 g",""
"https://www.marksandspencer.com/food/2-unsmoked-gammon-steaks/p/fdp60224631#intid=pid_pg2pip96g6r13c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/934b8579f1c8274983159c7521cbe257.jpg","2 Unsmoked Gammon Steaks","400 g",""
"https://www.marksandspencer.com/food/4-lamb-shish-kebabs/p/fdp21060054#intid=pid_pg2pip96g6r13c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/cda3057c42c71d3d6179b007f880dc12.jpg","4 Lamb Shish Kebabs","300 g",""
"https://www.marksandspencer.com/food/6-british-outdoor-bred-pork-butchers-sausages/p/fdp60095977#intid=pid_pg2pip96g6r13c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/12c6fe6be80af58edd03fde28799e349.jpg","6 British Outdoor Bred Pork Butchers Sausages","400 g",""
"https://www.marksandspencer.com/food/british-12-fat-beef-mince/p/fdp60578996#intid=pid_pg2pip96g6r13c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/3a3100c485c931e3998bf41d9e0e68aa.jpg","British 12% Fat Beef Mince","750 g",""
"https://www.marksandspencer.com/food/british-aberdeen-angus-beef-mince-5-fat/p/fdp21055026#intid=pid_pg2pip96g6r13c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/9fb6529997b614e4386844e52195cc74.jpg","British Aberdeen Angus Beef Mince 5% Fat","500 g",""
"https://www.marksandspencer.com/food/british-beef-mince-12-fat/p/fdp21065615#intid=pid_pg2pip96g6r14c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/8e1f630c52e45264ccfe9543987f2bcf.jpg","British Beef Mince 12% Fat","500 g",""
"https://www.marksandspencer.com/food/british-outdoor-bred-6-smoked-bacon-rashers/p/fdp60287309#intid=pid_pg2pip96g6r14c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/b479288cdd6b13a21b50dbc13bc19fc9.jpg","British Outdoor Bred 6 Smoked Bacon Rashers","200 g",""
"https://www.marksandspencer.com/food/british-outdoor-bred-cumberland-sausages/p/fdp21057144#intid=pid_pg2pip96g6r14c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/c9d2614421ffb2f6ebcea83ee72ee847.jpg","British Outdoor Bred Cumberland Sausages","400 g",""
